Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1,-1,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,2
2,-1,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,2
3,-1,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,-1
4,-1,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,-1
5,-1,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,4
6,-1,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,2
7,-1,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,1
8,-1,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,2
9,-1,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,-1
10,-1,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,3
11,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
13,-1,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,3
14,-1,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,2
15,-1,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,1
16,-1,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,-1
17,-1,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,1
18,-1,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,2
19,-1,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,1
20,-1,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,-1
21,-1,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40,-1
22,-1,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10,2
23,-1,998,50,60,50,85,15,40,50,70,40,15,50,100,70,50,100,70,85,85,1
24,-1,70,40,40,40,60,60,70,60,40,40,70,60,85,85,40,85,30,60,40,2
25,-1,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15,2
26,-1,999,50,50,70,100,60,999,50,50,50,60,0,60,50,85,100,50,70,50,-1
27,-1,60,60,70,50,70,60,40,50,85,40,70,85,85,85,999,85,70,50,70,-1
28,-1,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50,-9
29,-1,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85,1
30,-1,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50,-1
31,-1,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85,-1
32,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
33,-1,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50,2
34,-1,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0,2
35,-1,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50,-1
36,-1,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40,1
37,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
38,-1,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0,2
39,-1,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70,-1
40,-1,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100,1
41,-1,50,30,15,70,50,70,85,70,30,60,50,15,100,50,50,100,0,999,0,-1
42,-1,50,40,30,60,50,40,60,60,50,60,50,50,85,50,60,85,50,60,40,2
43,-1,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100,1
